"","Sample.1.NI.Sample1","Sample.2.NI.Sample1","Sample.3.d3.pi.Sample1","Sample.4.d3.pi.Sample1","Sample.5.ECM.Sample1","Sample.6.ECM.Sample1","Sample 1
ECM
Sample2","Sample 2
ECM
Sample2","Sample 3
NI
Sample2","Sample 4
NI
Sample2","Sample 5
d3 pi
Sample2","Sample 6
d3 pi
Sample2"
"O35664",-0.0781506592267616,-0.136980522689364,-0.183314947149884,0.0120446209492697,0.203760646515577,0.182640861601163,0.28206291574143,0.506644368296603,-0.387205976373697,-0.195447964499444,-0.0759510245664758,-0.130102318598415
"O35728, Q91WL5",-0.272895649064196,-0.257599506913471,-0.0839807383172753,-0.373592598139456,0.991264120863094,-0.00319562842869514,NA,NA,NA,NA,NA,NA
"O35930",0.0777419780017934,-0.00630721094864439,-0.0882119616024215,0.0788031026562703,-0.0442505724762898,-0.0177753356307089,-0.302021676433666,0.103662911559318,0.156547618167996,-0.00339867835612351,-0.250137696950029,0.295347522012506
"O35945, P24549",-0.115976260794356,-0.280423876374927,-0.310204080644815,-0.202854467087508,0.684655887211183,0.224802797690423,-0.212040220875862,1.21190932775591,-0.575343094131566,-0.352140946648155,0.050445669866527,-0.122830735966852
"O35963, P35276, P35279, P35283, P55258, P56371, P61027, P61028, P61294, P62821, P62823, P63011, Q504M8, Q5RI75, Q64008, Q6PHN9, Q8BHC1, Q8BHD0, Q8BHH2, Q8CB87, Q8CG50, Q8K386, Q91V41, Q91ZR1, Q923S9, Q99P58, Q9CZT8, Q9D1G1, Q9ERI2, Q9JKM7",-0.081561888825961,-0.0622904578559469,-0.21602051828333,-0.283857405497959,0.320275287405114,0.323454983058082,-0.089287745938567,1.0054338362797,-0.334423548360091,-0.17554114160588,-0.390883780960903,-0.0152976194142607
"O54724",0.0102585023126469,0.171138971853999,-0.270495714143271,-0.556328470489401,0.602931384922232,0.0424953255437934,NA,NA,NA,NA,NA,NA
"O54890",0.301162777879552,0.0737297971703779,0.027788366884232,-0.0621110760660502,-0.230886808132201,-0.10968305773591,-0.351570212180341,-0.15131763402344,0.0846354923957144,0.405065454859956,-0.436986341151255,0.450173240099365
"O55022",-0.113524583826405,-0.265821287017345,-0.263632835071339,-0.380628662298252,1.30790709969063,-0.284299731477292,NA,NA,NA,NA,NA,NA
"O55143",-0.291687368817256,0.0235042467695576,0.0122861913356305,-0.219525134011243,0.55222905109158,-0.0768069863682674,NA,NA,NA,NA,NA,NA
"O55222",-0.143232261159424,0.0792176051549984,0.223037133310204,-0.0637777165014657,-0.225844040216397,0.130599279412085,-0.308146399839786,0.283169851386989,-0.200649276196565,0.147343984354834,-0.088734341427529,0.167016181722057
"O70165",0.260609436366481,0.062560530264077,0.0668478936005323,0.107591819898489,-0.0547009337092796,-0.442908746420299,-0.680982279015411,0.577305295986526,0.40351490254785,0.0136152084424843,-0.282524855007299,-0.0309282729541498
"O70362",0.080818097953256,0.0642946038264522,0.115703582546197,0.171107799431575,-0.32047517036796,-0.111448913389522,0.0636199088504878,-0.499475928093375,0.130626094197927,0.126068900799581,0.140932313678158,0.0382287105672221
"O70456, P61982, P62259, P63101, P68254, P68510, Q9CQV8",0.0282205204049082,-0.194761557033878,-0.190198332560449,-0.443773757308457,0.425153946212208,0.375359180285667,-0.0925254180201147,1.19820157616208,-0.347903399741944,-0.0557411676148858,-0.516097682205747,-0.185933908579387
"O70503",0.0313514004608892,-0.0954860587133077,-0.0643587883067145,-0.156747992950018,0.626767387263778,-0.341525947754626,-0.149515186676651,-0.430599813906961,0.201952406021554,0.276962116835312,0.367484835676075,-0.26628435794933
"O88342",0.731030761207364,-0.05474480639556,-0.0518557072461876,-0.159829469216921,-0.217401275240609,-0.247199503108086,-0.436444226672298,0.434737770905047,0.23327872063033,0.261864768220281,-0.676889653293723,0.183452620210362
"O88451, Q9R092",-0.238290035896836,-0.272671364457378,-0.198358104058911,-0.457111791620676,1.43225588832509,-0.26582459229129,NA,NA,NA,NA,NA,NA
